127.0.0.1 - - [02/Nov/2019:01:11:34 +0900] "GET / HTTP/1.1" 404 1115
127.0.0.1 - - [02/Nov/2019:01:13:26 +0900] "GET / HTTP/1.1" 404 1115
1.246.212.140 - - [02/Nov/2019:01:13:58 +0900] "POST /Mandara/UserAdder HTTP/1.1" 200 6
1.246.212.140 - - [02/Nov/2019:01:14:00 +0900] "POST /Mandara/MandaraListOffer HTTP/1.1" 200 299
1.246.212.140 - - [02/Nov/2019:01:14:02 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=0&MandaraName=mandara0 HTTP/1.1" 200 30047
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=1&MandaraName=mandara1 HTTP/1.1" 200 26734
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=2&MandaraName=mandara2 HTTP/1.1" 200 27941
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=3&MandaraName=mandara3 HTTP/1.1" 200 26929
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=4&MandaraName=mandara4 HTTP/1.1" 200 19789
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=5&MandaraName=mandara5 HTTP/1.1" 200 27975
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=6&MandaraName=mandara6 HTTP/1.1" 200 28445
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=7&MandaraName=mandara7 HTTP/1.1" 200 33050
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=8&MandaraName=mandara8 HTTP/1.1" 200 19955
1.246.212.140 - - [02/Nov/2019:01:14:03 +0900] "GET /Mandara/MandaraTargetIconOffer?Num=9&MandaraName=mandara9 HTTP/1.1" 200 19949
1.246.212.140 - - [02/Nov/2019:01:14:05 +0900] "GET /Mandara/MandaraTargetImageOffer?Num=4&MandaraName=mandara4 HTTP/1.1" 200 33804
1.246.212.140 - - [02/Nov/2019:01:18:17 +0900] "POST /Mandara/UserAdder HTTP/1.1" 200 6
1.246.212.140 - - [02/Nov/2019:01:18:21 +0900] "POST /Mandara/MandaraListOffer HTTP/1.1" 200 299
